ra ,dec,u,b,v,r,i,j,h,k
10.443,41.538,18.090,17.760,16.840,16.270,15.660,14.823,13.931,13.704
10.614,41.426,18.150,17.950,16.850,16.180,15.480,14.550,13.936,13.771
9.737,41.175,17.706,17.537,16.853,16.319,15.848,15.116,14.455,14.293
10.793,41.842,18.134,17.666,16.856,16.235,15.521,14.932,14.286,14.266
10.508,40.670,17.906,17.698,16.858,16.377,15.771,15.149,14.539,14.442
10.319,40.984,17.690,17.740,16.860,16.360,15.773,15.068,14.304,14.637
11.096,41.552,18.070,17.760,16.860,16.130,15.590,14.669,14.071,13.939
10.302,41.008,17.810,17.810,16.860,16.290,15.680,14.837,14.095,14.232
10.621,41.138,18.060,17.680,16.870,16.280,15.650,14.676,14.078,13.957
10.596,41.362,18.130,17.840,16.870,16.180,15.660,14.456,13.872,13.601
10.253,39.932,18.234,17.762,16.875,16.270,15.610,14.708,14.051,13.732
10.699,41.187,18.445,17.890,16.880,16.340,15.760,14.700,14.130,13.861
9.367,44.191,9999.000,9999.000,16.880,9999.000,15.920,15.445,14.759,14.470
10.807,41.022,17.890,17.630,16.900,16.370,15.873,15.161,14.341,14.530
10.085,41.680,18.220,17.510,16.910,9999.000,17.633,16.074,15.610,15.000
10.543,41.089,17.790,17.620,16.910,16.320,15.660,14.961,14.268,14.479
11.755,41.402,18.047,17.719,16.916,16.400,15.800,15.162,14.225,14.231
10.732,41.310,18.668,17.917,16.917,16.321,15.692,14.614,13.905,13.733
11.004,42.580,17.911,17.811,16.919,16.531,15.893,15.255,14.791,14.613
10.128,41.615,17.540,17.630,16.920,16.420,15.870,15.270,14.468,14.418
10.593,41.136,18.110,17.830,16.920,16.460,15.740,15.165,14.557,14.743
10.704,41.498,18.408,18.080,16.930,16.250,15.520,14.482,13.737,13.792
10.096,40.513,17.797,17.540,16.940,16.420,15.910,15.210,14.560,14.400
10.988,40.234,17.727,17.631,16.946,16.482,15.978,15.316,14.706,14.582
10.762,41.256,18.250,17.851,16.950,16.348,15.860,14.595,14.059,13.839
10.885,41.485,18.250,17.860,16.950,16.330,15.670,14.659,13.941,13.735
10.075,41.378,18.290,17.870,16.950,16.360,15.730,14.962,14.241,14.104
10.426,40.711,17.100,17.240,16.960,16.680,16.440,15.604,15.071,15.131
14.864,37.693,9999.000,9999.000,16.960,9999.000,15.980,9999.000,9999.000,9999.000
7.437,41.219,9999.000,9999.000,16.980,9999.000,16.040,15.505,14.722,15.781
10.927,41.590,18.970,18.040,16.990,16.390,15.650,14.648,13.850,13.650
10.724,41.326,18.070,17.980,17.005,16.520,16.070,15.310,9999.000,14.450
11.640,40.737,17.844,17.662,17.009,16.482,16.042,15.312,14.926,14.451
10.004,40.569,16.770,17.190,17.020,16.660,16.590,15.742,15.420,15.340
10.372,42.310,17.854,17.727,17.020,16.379,15.996,14.676,14.780,9999.000
12.467,41.611,17.976,17.824,17.020,16.440,16.030,15.235,14.547,14.512
9.590,40.060,18.193,17.920,17.023,16.494,15.800,15.063,14.298,14.089
12.436,38.311,18.053,17.781,17.030,16.600,16.040,15.407,14.856,14.750
10.773,41.574,18.000,17.930,17.034,16.320,15.750,14.687,13.951,13.672
10.923,41.407,17.950,17.750,17.040,16.630,15.920,15.358,14.684,15.009
10.475,41.184,18.958,18.392,17.050,16.410,15.720,14.726,13.971,13.856
10.557,40.811,17.886,17.652,17.056,16.642,16.018,14.913,14.098,14.081
10.540,41.296,20.017,18.621,17.069,16.064,15.153,13.580,12.738,12.546
9.857,41.393,17.924,17.802,17.079,16.543,16.050,15.247,14.645,14.657
11.315,41.588,18.490,18.100,17.080,16.650,16.090,15.285,14.547,14.573
10.846,41.257,19.194,18.310,17.080,16.592,15.770,14.975,14.239,13.943
10.569,41.756,17.910,17.850,17.090,16.550,15.930,15.314,14.607,14.612
11.288,41.376,18.030,17.870,17.100,16.570,16.050,15.577,15.052,14.934
11.451,40.635,18.055,17.775,17.108,16.641,16.154,15.417,15.065,14.459
10.128,40.748,16.525,17.246,17.128,17.167,16.683,15.194,14.312,14.086
11.027,41.529,18.560,18.150,17.130,16.660,15.930,14.990,14.449,14.234
8.587,41.472,18.460,18.043,17.137,16.571,15.950,15.304,14.476,14.329
10.682,41.212,18.059,17.924,17.149,16.662,16.168,15.668,14.796,14.725
12.576,42.596,18.023,17.797,17.150,16.733,16.210,15.488,15.109,15.186
9.963,40.970,18.783,18.261,17.156,16.455,15.622,14.680,13.734,13.862
10.911,41.496,18.530,18.210,17.170,16.520,15.780,15.068,14.286,14.318
9.069,40.974,18.126,17.891,17.172,16.624,16.207,15.409,15.020,14.735
11.234,41.900,17.970,17.870,17.188,17.030,16.316,16.005,15.000,14.650
11.543,41.628,18.239,17.894,17.190,16.733,16.171,15.717,15.097,15.547
10.938,41.102,18.133,17.950,17.190,16.730,16.210,15.529,14.848,15.109
10.160,41.423,18.560,18.060,17.190,16.600,15.960,15.218,14.457,14.219
10.628,41.508,18.370,18.080,17.190,16.650,15.930,15.165,14.484,14.523
11.959,43.155,18.062,18.001,17.198,16.771,16.160,15.422,14.882,14.731
10.811,41.420,18.100,18.080,17.200,16.530,15.790,15.099,14.265,14.169
10.531,41.380,20.021,18.480,17.230,16.060,15.450,14.255,13.396,13.207
10.906,41.610,19.062,18.390,17.240,16.490,15.830,14.788,13.981,14.040
11.037,41.632,17.470,17.450,17.250,16.860,16.620,15.271,9999.000,9999.000
10.513,41.073,18.070,17.950,17.250,16.670,16.150,15.749,15.324,15.255
11.145,41.891,17.203,17.576,17.256,17.285,17.510,16.329,15.848,16.068
9.250,41.425,18.262,18.158,17.260,16.970,16.370,15.688,15.161,15.099
10.701,41.418,21.541,19.355,17.266,15.956,14.956,13.275,12.397,12.219
11.161,41.463,18.490,18.110,17.270,16.840,16.130,15.260,9999.000,14.180
12.150,42.026,18.329,18.155,17.272,16.794,16.080,15.297,14.552,14.163
10.643,41.213,18.030,17.700,17.280,16.570,15.980,14.897,14.204,13.738
10.546,41.126,18.510,18.590,17.289,16.500,15.990,15.000,14.172,14.558
14.894,44.094,17.733,17.591,17.290,16.403,15.820,15.432,14.743,14.634
10.463,40.961,19.006,18.360,17.300,16.680,15.960,14.560,13.755,13.641
10.387,41.435,18.320,18.250,17.310,16.790,16.130,15.248,14.397,14.302
11.855,40.362,18.063,17.940,17.318,16.909,16.290,15.665,15.226,15.505
9.827,40.549,18.408,18.178,17.320,16.926,16.100,15.205,14.543,14.203
10.537,41.339,18.733,18.250,17.330,16.660,16.239,15.489,15.534,15.009
10.998,41.103,18.260,18.070,17.332,16.810,16.330,15.737,15.041,15.423
10.412,40.682,17.568,17.748,17.339,16.920,16.630,16.080,14.970,15.528
10.308,40.566,17.578,17.762,17.359,17.085,16.653,9999.000,9999.000,9999.000
10.246,41.412,18.140,18.090,17.360,16.970,16.350,15.772,15.047,15.506
10.952,40.710,18.322,18.047,17.367,16.747,16.201,15.535,14.574,14.841
11.998,41.591,18.079,18.049,17.370,16.850,16.500,15.812,15.492,15.373
10.599,37.243,18.561,18.416,17.370,17.243,16.400,15.839,15.452,15.359
10.755,41.269,19.081,18.353,17.373,16.736,15.989,14.530,13.610,13.569
10.013,40.566,17.453,17.775,17.379,17.123,16.615,16.914,16.277,15.758
