,ac age,fu,fb,fv,fr,fi,fj,fh,fk,nuv,enuv,fuv,efuv,Vr
1453,other class,7,7,7,7,7,0,0,0,21.41,0.07,999.00,999.00,-15.00
1454,other class,7,7,7,7,7,0,9,9,999.00,999.00,999.00,999.00,-78.00
1455,other class,7,7,7,7,7,0,0,9,999.00,999.00,999.00,999.00,-70.00
1456,other class,7,7,7,7,7,9,9,9,22.36,0.17,999.00,999.00,-104.00
1457,other class,5,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,-38.00
1458,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,-38.00
1459,other class,5,7,7,7,7,5,5,5,20.40,0.09,21.17,0.17,-31.00
1460,other class,7,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,82.00
1461,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1462,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1463,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1464,other class,7,7,7,7,7,9,9,9,19.94,0.05,20.17,0.05,99999.00
1465,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1466,other class,7,7,7,7,7,9,9,9,20.31,0.07,20.49,0.07,99999.00
1467,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1468,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1469,other class,7,7,7,7,7,9,9,9,21.52,0.10,21.70,0.18,99999.00
1470,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1471,other class,5,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,-4.00
1472,other class,7,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,-67.00
1473,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1474,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1475,other class,5,7,7,7,7,0,0,0,999.00,999.00,999.00,999.00,25.00
