,label,fu,fb,fv,fr,fi,fj,nuv,enuv,fuv,efuv,Vr,ra (deg),dec (deg)
1940,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.79,41.74
1941,foreground,6,6,6,6,5,5,999,999,999,999,99999,10.8,41.76
1942,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.87,41.24
1943,foreground,5,5,5,5,5,5,999,999,999,999,99999,10.89,40.89
1944,foreground,5,5,5,5,5,5,999,999,999,999,99999,10.95,40.5
1945,foreground,5,5,5,5,5,9,999,999,999,999,99999,10.97,40.37
1946,foreground,6,6,6,6,6,9,999,999,999,999,99999,11.04,41.97
1947,foreground,6,6,6,6,5,5,999,999,999,999,99999,11.05,41.92
1948,foreground,5,5,5,5,5,5,999,999,999,999,99999,11.06,40.48
1949,foreground,6,6,6,6,6,5,999,999,999,999,99999,11.08,41.93
1950,foreground,6,6,5,5,5,9,999,999,999,999,99999,11.12,41.57
1951,foreground,5,5,5,5,5,5,999,999,999,999,99999,11.29,40.64
1952,foreground,5,5,5,5,5,5,999,999,999,999,99999,11.3,40.61
1953,foreground,5,5,5,5,5,5,999,999,999,999,99999,11.36,41.02
1954,foreground,5,5,5,5,5,9,999,999,999,999,99999,11.46,41.52
1955,foreground,5,5,5,5,5,9,999,999,999,999,99999,11.67,40.43
1956,foreground,5,5,5,5,5,5,999,999,999,999,-90,11.68,40.66
1957,foreground,5,5,5,5,5,5,999,999,999,999,99999,11.71,40.66
1958,foreground,5,5,5,5,5,5,999,999,999,999,1,11.78,40.62
1959,foreground,5,5,5,5,5,5,999,999,999,999,99999,11.81,40.62
1960,foreground,5,5,5,5,5,9,999,999,999,999,99999,11.98,40.77
1961,foreground,5,5,5,5,5,5,999,999,999,999,99999,12,41.81
1962,foreground,5,5,5,5,5,9,999,999,999,999,99999,12.02,41.83
1963,foreground,5,5,5,5,5,5,999,999,999,999,99999,12.03,41.48
1964,foreground,5,5,5,5,5,5,999,999,999,999,99999,12.03,41.97
1965,foreground,5,5,5,5,5,9,999,999,999,999,99999,12.07,41.64
1966,foreground,5,5,5,5,5,9,999,999,19.89,0.03,99999,12.07,41.37
1967,foreground,5,5,5,5,5,9,999,999,999,999,99999,12.14,41.38
1968,foreground,5,5,5,5,5,5,999,999,999,999,99999,12.19,41.39
1969,foreground,5,5,5,5,5,9,999,999,999,999,99999,12.25,41.47
1970,foreground,5,5,5,5,5,5,999,999,999,999,99999,12.32,41.02
1971,Galaxy,5,5,5,5,5,5,999,999,999,999,99999,10.23,41.96
1972,Galaxy,5,5,5,5,5,5,999,999,999,999,99999,10.25,41.93
1973,Galaxy,5,5,5,5,5,5,999,999,999,999,99999,10.71,41.99
1974,Galaxy,5,5,5,5,5,5,999,999,999,999,99999,10.81,40.38
1975,Galaxy,5,5,5,5,5,9,999,999,999,999,99999,10.82,42.03
1976,Galaxy,5,5,5,5,5,9,999,999,999,999,-71,10.95,40.55
1977,Galaxy,6,6,6,6,6,0,999,999,999,999,-23,11.22,41.77
1978,Galaxy,5,5,5,5,5,0,999,999,999,999,-67,11.45,41.04
1979,Galaxy,5,5,5,5,5,0,999,999,999,999,-22,11.62,40.34
1980,Galaxy,5,5,5,5,5,9,999,999,999,999,99999,11.8,41.5
1981,Galaxy,6,6,6,6,6,9,999,999,999,999,-6,11.86,41.79
1982,Galaxy,6,6,6,6,6,9,999,999,999,999,99999,11.88,41.88
1983,Galaxy,6,5,6,6,6,9,999,999,20.73,0.09,-514,11.92,41.78
1984,Galaxy,5,5,5,5,5,5,999,999,999,999,99999,12.14,41.73
1985,Candidate GCs ,6,6,6,6,6,9,999,999,999,999,-88,10.74,40.86
1986,Candidate GCs ,6,6,6,6,6,0,20.23,0.03,22.06,0.14,-53,9.73,40.44
1987,Controversial Object,6,6,6,6,6,0,16.81,0.01,999,999,-74,10.2,40.99
1988,foreground,7,7,7,7,7,9,999,999,999,999,99999,11.61,41.05
1989,foreground,7,7,7,7,7,9,999,999,999,999,99999,11.63,39.4
1990,foreground,6,6,6,6,7,0,999,999,999,999,-52,12.04,42.42
1991,Controversial Object,9,9,30,9,9,9,999,999,999,999,99999,10.24,41.06
1992,GCs,6,6,6,6,6,0,999,999,999,999,-17,10.38,40.77
1993,GCs,6,6,6,6,6,0,999,999,999,999,99999,10.96,41.04
1994,GCs,7,7,7,7,7,0,20.53,0.1,999,999,-67,11,41.65
1995,foreground,6,6,6,6,6,0,20.86,0.1,999,999,-187,10.13,40.75
1996,foreground,6,6,6,6,6,9,999,999,999,999,-8,10.29,40.55
1997,foreground,6,6,6,6,9,9,999,999,999,999,-276,10.3,41.17
1998,foreground,6,6,6,6,6,5,999,999,999,999,-21,10.41,40.87
1999,foreground,6,6,6,6,6,5,999,999,999,999,-26,10.42,41.05
2000,foreground,6,6,6,6,6,0,16.7,0.01,999,999,99999,10.42,41.25
2001,foreground,9,9,30,9,9,0,999,999,999,999,-70,10.5,40.8
2002,foreground,6,6,6,6,9,9,999,999,999,999,99999,10.53,41
2003,foreground,9,9,9,9,9,0,999,999,999,999,-50,10.53,41.38
2004,foreground,6,6,6,6,6,0,22.15,0.07,999,999,-54,10.55,40.81
2005,foreground,9,9,9,9,9,9,21.41,0.08,22.38,0.19,99999,10.61,41.1
2006,foreground,6,6,6,6,9,5,18.65,0.02,999,999,-8,10.63,41.38
2007,foreground,9,9,30,9,9,0,999,999,999,999,-118,10.71,41.18
2008,foreground,9,9,9,9,9,0,999,999,999,999,-92,10.75,41.07
2009,foreground,6,6,6,6,9,0,999,999,999,999,-9,10.8,41.05
2010,foreground,6,6,6,6,6,5,999,999,999,999,99999,10.97,41.24
2011,foreground,9,9,9,9,9,0,999,999,999,999,-181,10.98,41.01
2012,foreground,6,6,6,6,6,0,999,999,999,999,-200,10.99,41.76
2013,foreground,6,6,6,6,9,0,999,999,999,999,22,11.06,41.37
2014,foreground,6,6,6,6,6,0,999,999,999,999,-23,11.09,41.56
2015,foreground,9,9,9,9,9,0,999,999,999,999,-22,11.29,40.28
2016,foreground,6,6,6,6,6,0,999,999,999,999,99999,11.36,41.7
2017,foreground,6,6,6,6,6,0,999,999,999,999,99999,11.36,41.76
2018,foreground,6,6,6,6,9,0,999,999,999,999,99999,11.37,41.5
2019,foreground,6,6,6,6,6,0,999,999,999,999,99999,11.99,42.12
2020,Galaxy,6,6,6,6,6,0,999,999,999,999,99999,10.4,40.79
2021,Galaxy,9,9,9,9,9,5,999,999,999,999,-20,10.87,42.13
2022,Galaxy,6,6,6,6,6,5,999,999,999,999,-15,10.98,40.98
2023,Galaxy,9,9,9,9,9,9,999,999,999,999,-46,11.66,41.12
2024,Candidate GCs ,6,6,6,6,6,5,999,999,999,999,-77,11.1,42.08
2025,foreground,6,6,6,6,6,5,999,999,999,999,-7,11.32,41.75
2026,GCs,6,6,6,6,6,5,999,999,999,999,-14,9.99,40.59
2027,GCs,6,6,6,6,6,5,999,999,999,999,99999,10.05,40.6
2028,GCs,7,7,7,7,7,9,999,999,999,999,-159,10.22,40.59
2029,GCs,6,6,6,6,6,9,999,999,999,999,99999,10.22,40.61
2030,GCs,7,7,7,7,7,9,999,999,999,999,99999,10.23,40.59
2031,GCs,9,7,7,7,7,0,21.8,0.05,999,999,-114,10.24,40.57
2032,GCs,6,6,6,6,6,9,999,999,999,999,-29,10.25,40.57
2033,GCs,7,7,7,7,7,0,999,999,999,999,26,10.26,40.58
2034,GCs,9,9,9,9,9,0,999,999,999,999,-87,10.49,40.77
2035,GCs,9,7,7,7,7,0,999,999,999,999,-28,10.49,40.78
2036,GCs,6,6,6,6,7,0,999,999,999,999,-111,11.21,41.33
2037,GCs,6,6,6,6,6,3,22.06,0.06,999,999,-64,11.23,41.48
2038,GCs,6,6,6,6,6,5,999,999,999,999,-54,11.27,41.6
2039,GCs,6,6,6,6,6,0,999,999,999,999,-40,11.28,41.62
2040,Candidate GCs ,6,6,6,6,6,0,20.26,0.02,999,999,-235,10.45,40.88
2041,Candidate GCs ,6,6,6,6,6,9,999,999,999,999,99999,10.47,40.87
2042,GCs,6,6,6,6,6,9,999,999,999,999,99999,10.47,40.88
2043,GCs,6,6,6,6,6,9,999,999,999,999,99999,10.47,40.84
2044,Candidate GCs ,9,9,30,9,9,9,999,999,999,999,99999,10.48,40.84
2045,Candidate GCs ,6,6,6,6,6,9,999,999,999,999,-288,10.48,40.86
2046,GCs,7,7,7,7,7,9,999,999,999,999,99999,10.19,40.86
2047,GCs,6,6,6,6,6,9,999,999,999,999,99999,10.2,40.87
2048,GCs,6,6,6,6,6,9,999,999,999,999,99999,10.41,40.68
2049,Controversial Object,6,6,6,6,6,9,999,999,999,999,99999,10.44,41.31
2050,GCs,6,6,6,6,6,9,999,999,999,999,99999,10.78,41.31
2051,foreground,6,6,6,6,6,9,999,999,999,999,99999,10.74,41.31
2052,Galaxy,6,6,6,6,6,9,999,999,999,999,99999,11.22,41.28
2053,GCs,7,7,7,7,7,9,999,999,999,999,99999,10,40.56
2054,GCs,6,6,6,6,7,9,999,999,999,999,99999,10.54,41.3
2055,foreground,9,9,30,9,9,9,999,999,999,999,-22,11.25,41.52
2056,GCs,9,9,30,9,9,0,22.16,0.41,23.21,0.58,-210,11.31,41.63
2057,foreground,9,9,9,9,9,0,999,999,999,999,99999,8.97,40.35
2058,Galaxy,9,9,9,9,9,9,999,999,999,999,99999,9.76,41.72
2059,foreground,9,9,9,9,9,9,999,999,999,999,99999,8.55,39.4
2060,Candidate GCs ,9,9,9,9,9,9,999,999,999,999,99999,10.2,41.67
